"warddiv","n_apps","n_req","n_mailed","n_ret","n_reg","turnout_16"
"39-29",156.668855558356,156.668855558356,151.668855558356,99.9424676197678,448,319
"39-30",335.947819510965,335.947819510965,330.247819510965,237.668725017105,648,531
"39-31",224.617998487522,224.617998487522,218.784665154189,148.827009134887,591,426
"39-32",209.734675957603,209.734675957603,202.568009290936,150.139188783656,471,322
"39-33",171.340563818167,171.340563818167,170.090563818167,108.5604306961,448,330
"39-34",179.576980925973,179.576980925973,175.493647592639,133.069318904774,412,308
"39-35",347.174985295353,347.174985295353,335.674985295353,231.225948599758,717,467
"39-36",199.436770019326,199.436770019326,198.103436685993,124.881359909731,566,421
"39-37",268.956921987348,268.956921987348,265.123588654015,182.592528238924,663,485
"39-38",281.910152808287,281.910152808287,273.876819474954,184.780025688117,614,442
"39-39",205.82864465171,205.82864465171,201.07864465171,141.187841958059,580,430
"39-40",207.930333585413,207.930333585413,202.513666918746,130.195895302916,478,309
"39-41",211.787748928661,211.787748928661,207.954415595328,137.485897343561,583,430
"39-42",190.524314883503,190.524314883503,186.524314883503,128.436932670724,461,369
"39-43",201.295042433409,201.295042433409,198.211709100076,136.503487101924,474,346
"39-44",216.0069363919,216.0069363919,214.673603058566,128.969878881727,565,378
"39-45",388.491504915553,388.491504915553,380.674838248887,279.347339359238,785,622
"39-46",395.752570612313,395.752570612313,389.252570612313,293.881545368336,780,612
"40-01",173.956540309664,173.956540309664,160.66924719701,123.433057483538,386,283
"40-02",159.327462145177,159.327462145177,153.295596608883,102.065198869628,447,344
"40-03",292.672248935004,292.672248935004,278.375020034586,185.163895567084,698,542
"40-04",148.044666582311,148.044666582311,143.283499936733,82.5111666455776,620,464
"40-05",324.118699649922,324.118699649922,304.663429499346,213.621936817242,714,483
"40-06",191.609420473238,191.609420473238,180.727898688262,119.631521784976,506,324
"40-07",215.440147201485,215.106813868151,209.342610401113,125.814203467038,639,441
"40-08",148.410616221688,148.410616221688,137.066295499599,81.2109873887553,397,293
"40-09",212.23649036231,212.23649036231,203.21010586697,122.309717828673,606,396
"40-10",146.81446602556,146.81446602556,143.296266185837,88.5515331730566,417,286
"40-11",219.248458391328,219.248458391328,208.856581888734,138.858543169261,467,351
"40-12",198.724461175081,198.724461175081,190.439179214644,125.285281960437,464,332
"40-13",258.508224724788,258.174891391455,248.672835210258,170.08538951453,581,434
"40-14",249.635043654308,249.635043654308,235.467354169303,157.667689485006,655,462
"40-15",158.834988432105,158.834988432105,151.992489766862,89.7899982203239,403,189
"40-16",211.2338049475,211.2338049475,199.57734027407,128.064175120128,547,367
"40-17",186.606495817761,186.606495817761,146.259592454173,97.2792044847838,436,291
"40-18",139.045355045382,139.045355045382,126.442044847838,73.2210802633921,459,287.992193598751
"40-19",203.146832426505,203.146832426505,183.934529081783,113.545636678055,549,326.007806401249
"40-20",140.923504787212,140.923504787212,137.878045257075,74.4954595301362,408,256
"40-21",163.572835210258,163.572835210258,153.88379307436,90.3557088025644,450,281
"40-22",173.828047695319,173.828047695319,151.653016550988,104.038930414665,418,284
"40-23",217.482340039647,217.482340039647,208.578421696402,135.153918343245,545,360
